BeerBrand,BeerType,AlcoholPercentage,Brewery,
Oude Kriek 3 Fonteinen,lambiek/kriek,"6,00%",Geuzestekerij 3 Fonteinen,
Oude Kriek Boon,lambiek,"6,50%",Brouwerij Boon,
Oude Kriek De Cam,lambiek/kriek,"6,50%",Geuzestekerij De Cam,
Oude Kriek Hanssens,lambiek/kriek,"6,00%",Hanssens Artisanaal,
Oude Kriek Oud Beersel,lambiek,"6,50%",Brouwerij Oud Beersel,
Oude Lambiek De Cam,lambiek,"5,00%",Geuzestekerij De Cam,
Oude Quetsche Tilquin à l'ancienne,lambiek,"6,40%",Gueuzerie Tilquin,
Outblack,Belgian Strong Ale,"10,00%",De Struise Brouwers,?-?
Oxymore,"amber, hoge gisting","5,00%",Brasserie Oxymore,?-?
Paasei (bier),bruin,"7,80%",voor bierfirma Vacas,
*Pa-Gijs*,bruin,"8,50%",Brouwerij Boelens,1995-heden
Paix-Dieu,abdijbier,"10,00%",Brasserie Caulier,?-?
Paljas Blond,blond,"6,00%",Brouwerij Anders! voor *Brouwerij Henricus*,?-?
Paljas Bruin,bruin,"6,00%",Brouwerij Anders! voor *Brouwerij Henricus*,?-?
Paljas IPA,"amber, IPA","6,00%",Brouwerij Anders! voor *Brouwerij Henricus*,?-?
Palm,spéciale belge,"5,40%",Brouwerij Palm,1929?-heden
Palm Dobbel,kerstbier,"6,00%",Brouwerij Palm,1947-heden
*Palm Green*,alcoholarm,"0,25%",Brouwerij Palm,?-2012
Palm Hopper,hoge gisting,"6,00%",Brouwerij Palm,?-?
Palm Hop Select,hoge gisting,"6,00%",Brouwerij Palm,2011-heden
Palm N.A,alcoholarm,"0,25%",Brouwerij Palm,2012-heden
Palm Royale,hoge gisting,"7,50%",Brouwerij Palm,2003-heden
Palm Sauvin,hoge gisting,"4,90%",Brouwerij Palm,2011-heden
*Palm Speciale*,spéciale belge,"5,20%",Brouwerij Palm,?-?
Pandreitje,donkerblond,"7,00%",Brouwerij De Regenboog,
Pannepot,hoge gisting,"10,00%",De Struise Brouwers bij Brouwerij Deca,2005-?
Pannepot Reserva,"hoge gisting, bruin","10,00%",De Struise Brouwers bij Brouwerij Deca,?-heden
Pannepot Grand Reserva Vintage,"hoge gisting, bruin","10,00%",De Struise Brouwers bij Brouwerij Deca,2007-2007
Pannepot Special Reserva,"hoge gisting, bruin","10,00%",De Struise Brouwers bij Brouwerij Deca,2007-2007
Pannepot Wild,"hoge gisting, bruin","10,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Pannepeut,hoge gisting,"10,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Papegaei,hoge gisting,"8,00%",Brouwerij Verstraete bij Brouwerij Deca,2009-heden
Passchendaele,hoge gisting,"5,20%",Brouwerij Van Honsebrouck,2016-heden
Passendale,amber,"6,00%",Brouwerij Duvel Moortgat,2000-2005
Pater,streekbier,"6,00%",Brouwerij Anders! in opdracht van vzw Brouwerij De Lelie,2009-heden
*Pater*,streekbier,"6,00%",Brouwerij De Lelie,?-1952
*Pater Lieven*,abdijbier amber,"5,70%",Brouwerij Van Den Bossche,1957-1997
Pater Lieven Blond,abdijbier,"6,50%",Brouwerij Van Den Bossche,?-?
Pater Lieven Bruin,abdijbier,"6,50%",Brouwerij Van Den Bossche,?-?
Pater Lieven Tripel,abdijbier,"8,00%",Brouwerij Van Den Bossche,?-?
Pater Lieven Wit,abdijbier,"8,00%",Brouwerij Van Den Bossche,?-?
Pater Verbiest Blond,"biologisch, blond","6,50%",De Proefbrouwerij,2001-heden
Pater Verbiest Donker,"biologisch, donker","9,00%",De Proefbrouwerij,2001-heden
Paternoster Dubbel,bruin dubbel,"8,00%","Microbrouwerij Achilles in De Proefbrouwerij in opdracht van Paters en 
Prinsen",2009-heden
Paternoster Tripel,tripel,"8,00%",Brouwerij Anders! in opdracht van Paters en Prinsen,2011-heden
Patrasche dubbel,donkerbruin,"8,00%",De Proefbrouwerij voor Brouwerij De Arend (Hoboken),?-?
Paulus,oud bruin,"6,00%",Brouwerij Het Sas,?-?
*Paus*,streekbier,,Brouwerij Anders! in opdracht van Brouwerij De Lelie,?-1952
Paus,streekbier,"8,50%",Brouwerij Anders! in opdracht van Brouwerij De Lelie,2008-heden
Pauwel Kwak,speciaalbier,"8,40%",Brouwerij Bosteels,1980-heden
Pax Pils,pils,"4,60%",Brouwerij Sint-Jozef,1937-heden
Pêche Mel Bush,fruitbier,"8,50%",Brouwerij Dubuisson,2009-heden
Pee Klak Grand Cru,etiketbier,"8,40%",Brouwerij Strubbe voor Brouwerij Crombé,?-? (e ?-?)
Père Abbé,tripel,"7,30%",Brasserie Du Bocq,?-?
Père Noël,kerstbier,"7,00%",Brouwerij De Ranke,1997-heden
Peter Benoit,etiketbier,"5,00%",Brouwerij Het Sas,1955-heden (e ?-heden)
Petrus Aged Pale,aged pale,"7,30%",Brouwerij Bavik,2001-heden
Petrus Aged Red,roodbruin,"8,50%",Brouwerij Bavik,2013-heden
Petrus Blond,"hoge gisting, blond","6,60%",Brouwerij Bavik,2006-heden
Petrus Dubbel Bruin,bruin,"6,50%",Brouwerij Bavik,2006-heden
Petrus Gouden Tripel,tripel,"7,50%",Brouwerij Bavik,2006-heden
Petrus Oud Bruin,oud bruin,"5,50%",Brouwerij Bavik,?-heden
Petrus Speciale,speciaalbier,"5,50%",Brouwerij Bavik,2006-heden
Petrus Winterbier,winterbier,"6,50%",Brouwerij Bavik,2006-heden
Phaedra,amber,"6,00%",Brouwerij Het Alternatief bij Brouwerij De Graal,
Pick-Up,pils,"5,00%",Brouwerij Walrave,
Piedbœuf Blonde,tafelbier,"1,50%",Brouwerij Piedbœuf (InBev),?-heden
Piedbœuf Brune,tafelbier,"1,50%",Brouwerij Piedbœuf (InBev),?-heden
*Piedbœuf Excellence*,tafelbier,"2,00%",Brouwerij Piedbœuf (InBev),?-?
*Piedbœuf Foncée*,tafelbier,"1,50%",Brouwerij Piedbœuf (InBev),?-?
Piedbœuf Triple,tafelbier,"3,80%",Brouwerij Piedbœuf (InBev),?-heden
Pierewietje,,"6,00%",Brouwerij De Regenboog,?-?
Piet-Agoras,hoge gisting,"9,00%",Brouwerij Het Alternatief bij Brouwerij De Graal,?-?
Pikkeling,blond,"6,20%",Brouwerij Slaghmuylder in opdracht van VVV De Faluintjesstreek,2011-heden
*Pikkeling (40)*,"amber, hoge gisting","5,50%",Brouwerij Slaghmuylder in opdracht van VVV De Faluintjesstreek,2009-2011
*Pikkeling Tripel*,tripel,"8,00%",Brouwerij Boelens in opdracht van VVV De Faluintjesstreek,?-2008
Pilaarbijter Blond,hoge gisting,"7,20%",Brouwerij Bavik,2002-heden
Pilaarbijter Bruin,hoge gisting,"6,50%",Brouwerij Bavik,2003-heden
Pils de Brabant,pils,"4,90%",Groep John Martin,?-?
Pimpernelle,"tripel, biologisch","8,00%",Brouwerij Jessenhofke,2010-heden
Pink Killer,"hoge gisting, fruitig witbier","5,00%",Brasserie de Silly,?-?
Pipedream,IPA,"7,80%",Brouwerij Alvinne,?-?
Piraat,hoge gisting,"10,50%",Brouwerij Van Steenberge,?-heden
Pissenlit,saison,"8,00%",Brasserie Fantôme,?-?
Plezir Blond,pils,"5,50%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Plezir Brown,hoge gisting,"7,10%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Plezir D Lux Blond,blond aperitiefbier,"6,70%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Plezir D Lux Rosé,rosébier,"5,20%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Ploegsteert,,"5,40%",Brouwerij Verhaeghe Vichte,?-?
Plokkersbier,amber,"7,00%",Brouwerij De Bie,?-?
PMPRNL,"tripel, biologisch","8,00%",Brouwerij Jessenhofke,2010-heden
Podge Belgian Imperial Stout,stout,"10,50%",Brouwerij Alvinne,?-?
Podge Oak Aged Stout,stout,"11,00%",Brouwerij Alvinne,?-?
*Polygonneke*,"roodbruin, etiketbier","6,00%",Brouwerij Van Eecke,1955-heden (e ?-?)
Postel Blond,"blond, abdijbier","7,00%","Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij 
De Smedt)",1953?-heden
Postel Christmas,roodbruin abdijbier,"9,00%","Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij 
De Smedt)",?-heden
Postel Dubbel,"bruin, abdijbier","7,00%","Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij 
De Smedt)",?-heden
Postel Tripel,"blonde tripel, abdijbier","8,50%","Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij 
De Smedt)",?-heden
Potteloereke,bruin,"8,00%",Huisbrouwerij Sint-Canarus,2007-heden
Poorter (bier),abdijbier,"6,50%",Brasserie du Bocq voor Brouwerij Sterkens,
Poperings Hommelbier,hoge gisting,"7,50%",Brouwerij Van Eecke,1981-heden
Poperings Nunnebier,hoge gisting,"7,20%",Brouwerij Verhaeghe,2007-heden
Préaris Blond,hoge gisting,"6,00%",De Proefbrouwerij voor Vliegende Paard Brouwers,2012-heden
Préaris Quadrupel,Belgian Strong Ale,"10,00%",De Proefbrouwerij voor Vliegende Paard Brouwers,?-heden
Préaris IPA (No Hops No Glory),IPA,"6,70%",De Proefbrouwerij voor Vliegende Paard Brouwers,?-?
Prima Leroy,tafelbier,"3,25%",Brouwerij Het Sas,?-?
Primus,pils,"5,20%",Brouwerij Haacht,1975-heden
Prins van Horne,amber,"7,90%",Brouwerij Boelens voor Vryheytscamme,?-?
Prinsesken,"lichtrood, fruitbier","6,50%",Brouwerij Boelens,?-heden
Puitenkop,IPA,"5,60%",Brouwerij 't Paenhuys,?-?
Qantelaar,quadrupel,"8,00%",Brouwerij Maenhout voor bierfirma *Proefbrouwerij d'oude maalderij*,2013-heden
Quadrigenti,blond,"5,60%",t Hofbrouwerijke voor bierfirma *Montaignu*,
Quest,blond,"9,00%",Brouwerij De Graal,2009-heden
Queueu de Charrue Ambrée,amber,"5,60%",Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem,1998-heden
Queueu de Charrue Blonde,"blond, hoge gisting","6,60%",Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem,2009-heden
Queueu de Charrue Brune,oud bruin,"5,40%",Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem,1986-heden
Queueu de Charrue Triple,tripel,"9,00%",Brouwerij Van Steenberge in opdracht van Brouwerij Vanuxeem,1992-heden
Quackelbeens Donker,"hoge gisting, chocoladebier","7,10%",Brouwerij Gulden Spoor voor Alain Quackelbeen,
Quintine Ambrée,hoge gisting,"8,50%",Brasserie Ellezelloise,?-heden
Quintine Bio Organic,"hoge gisting, biologisch","5,90%",Brasserie Ellezelloise,?-heden
Quintine Blonde,hoge gisting,"8,00%",Brasserie Ellezelloise,?-heden
Rader Ambrée,amber,"10,50%",Brasserie de l'Abbaye du Val-Dieu voor Stokerij Radermacher,
Rader Blonde,blond,"6,50%",Brasserie de l'Abbaye du Val-Dieu voor Stokerij Radermacher,
Ramée Blond,"blond, tripel, abdijbier","6,80%","Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)",2001-heden
Ramée Triple Amber,"amber, tripel, abdijbier",,"Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)",2001-heden
Ramée Triple Blond,"blond, tripel, abdijbier",,"Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)",2001-heden
Ramée Wit,Wit Abdijbier,,"Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)",2001-heden
Rebel Local,IPA,"8,50%",Brouwersverzet bij Brouwerij Gulden Spoor,
*Redbach*,fruitbier (kriekensap),"3,50%",Brouwerij Rodenbach,2004-2007
Redbocq,fruitbier,"3,10%",Brasserie Du Bocq,?-heden
Redor,pils,"5,00%",Brasserie Dupont,
Regal Christmas,bruin,"8,10%",Brasserie Du Bocq,
Reinaert Blond,amber,"7,00%",De Proefbrouwerij,?-heden
Reinaert Grand Cru,amber,"9,50%",De Proefbrouwerij,?-heden
Reinaert Tripel,blond,"9,00%",De Proefbrouwerij,?-heden
Reninge Bitter Blond,blond,"7,00%",Seizoensbrouwerij Vandewalle,?-?
Reninge Oud Bruin,bruin,"6,00%",Seizoensbrouwerij Vandewalle,?-?
Revolucion Mexicana’10,lage gisting,"5,00%",Group John Martin,?-?
Ridder,alcoholarm,"2,25%",Brouwerij Het Sas,1988-heden
Riebedebie,tripel,"9,00%",Brouwerij De Bie,?-heden
Ribaldus blond,blond,"7,50%",Brouwerij De Graal voor bierfirma Ribaldus,?-?
Riva Blanche,witbier,"5,00%",Brouwerij Riva,1985-2007
Robustus,quadrupel,"10,00%",Brouwerij Het Gulden Spoor,?-?
Rochefort 6,trappist,"7,50%",Abdij Notre-Dame de Saint-Rémy,?-heden
Rochefort 8,trappist,"9,20%",Abdij Notre-Dame de Saint-Rémy,?-heden
Rochefort 10,trappist,"11,30%",Abdij Notre-Dame de Saint-Rémy,?-heden
Rodenbach,oud bruin,"5,20%",Brouwerij Rodenbach,?-heden
Rodenbach Alexander,oud bruin,"6,00%",Brouwerij Rodenbach,?-heden
Rodenbach Caractère Rouge,oud bruin,"7,00%",Brouwerij Rodenbach,2011-heden
Rodenbach Grand Cru,oud bruin,"6,00%",Brouwerij Rodenbach,?-heden
Rodenbach Rosso,oud bruin,"4,00%",Brouwerij Rodenbach,2014-heden
Rodenbach Vintage,oud bruin,"7,00%",Brouwerij Rodenbach,2010-heden
Rogier (bier),speciale belge,"6,50%",Brouwerij De Graal voor Traagwater,?-?
Romy Pils,pils,"5,10%",Brouwerij Roman,1945-heden
Romy Luxe,pils,"5,60%",Brouwerij Roman,?-?
Ronsischen Dubbel,winterbier,"7,40%",De Proefbrouwerij voor bierfirma Slaapmutske,?-?
Ronsischen Tripel,tripel,"8,00%",De Proefbrouwerij voor bierfirma Slaapmutske,?-?
Roodebol,fruitbier,"6,60%",Brouwerij Loterbol,?-?
Rosdel,amber,"5,80%",Brouwerij Nieuwhuys,?-?
Rosé de Gambrinus,"fruitbier, lambiek","5,50%",Brasserie Cantillon,1986-heden
Rose des Remparts,fruitbier,"4,50%",Brasserie La Binchoise,1992-heden
Rosé Max,fruitbier,"4,50%",Brouwerij Bockor,2009-heden
Roste Jeanne,Belgian ale,"7,00%",De Struise Brouwers bij Brouwerij Deca,?-heden
Rousse de Brabant,koper-amber,"5,20%",Groep John Martin,?-heden
RSRV,"biologisch, roodbruin","10,00%",Brouwerij Jessenhofke bij De Proefbrouwerij,2010-heden
*Rubbens (bier)*,,,Brouwerij van Zonnegem,
s Lands Souvenirs Du Terroir,bruin,"11,00%",Brouwerij De Landtsheer,?-?
Safir,pils,"5,00%",InBev,1939-heden
Saint-Benoît Blonde,"blond, hoge gisting","6,30%",Brasserie du Bocq,1988-heden
Saint-Benoît Brune,"donker, hoge gisting","6,50%",Brasserie du Bocq,1988-heden
Saint-Lamvinus,"fruitbier, lambiek","6,00%",Brouwerij Cantillon,1993-heden
Saint-Monon Ambrée,amber,"6,50%",Brasserie Saint-Monon,1996-heden
Saint-Monon au Miel,"tripel, honingbier","8,00%",Brasserie Saint-Monon,1996-heden
Saint-Monon Brune,dubbel,"7,50%",Brasserie Saint-Monon,1996-heden
Saison 1858,saison,"6,40%",Brasserie du Bocq,?-?
Saison 1900,"amber, saison","5,20%",Brouwerij Lefebvre,1982-heden
Saison 2000,saison,"6,50%",Brasserie des Légendes,?-?
Saison Cazeau,saison,"5,00%",Brasserie de Cazeau,?-?
Saison de Dottignies,saison,"5,50%",Brouwerij De Ranke,?-?
*Saison de la Senne*,saison,"4,30%",Brouwerij De Ranke voor Brasserie de la Senne,?-?
Saison de Mai,saison,"8,30%",Brasserie Saint-Monon,?-?
Saison de Pipaix,saison,"6,00%",Brasserie à Vapeur,1785-heden
Saison d'Epeautre,"blond, spelt","6,00%",Brasserie de Blaugies,1994-heden
Saison d'Erpe-Mere,saison,"6,90%",Brouwerij De Glazen Toren,2004-heden
Saison de Silly,"saison, amber","5,00%",Brasserie de Silly,?-?
Saison Dupont,saison,"6,50%",Brouwerij Dupont,1884-heden
Saison Dupont Bio,"saison, biologisch","5,50%",Brouwerij Dupont,1990-heden
Saison Dupont Cuvée Dry Hopping,saison,"6,50%",Brouwerij Dupont,?-?
Saison Regal,"saison, amber","5,50%",Brasserie du Bocq (voorheen Brasserie Centrale),1940-heden
Saison St-Feuillien,"saison, amber","6,50%",Brasserie Saint-Feuillien,?-?
Saison Voisin,"saison, amber","5,00%",Brasserie des Légendes,2001-heden
Sans Pardon,"Imperial Stout, zwart","11,00%",Brouwerij De Dochter van de Korenaar,?-?
Santa Bee,bruin kerstbier,"8,50%",Brouwerij Boelens,2006-heden
Sara Blond,"blond, hoge gisting, boekweit","6,00%",Brasserie de Silenrieux,1991-heden
Sara Bruin,"bruin, hoge gisting, boekweit","6,00%",Brasserie de Silenrieux,1991-heden
Sas Brune,hoge gisting,"5,30%",Brouwerij Het Sas,?-?
Sas Export,export pils,"5,00%",Brouwerij Het Sas,?-?
Sas Pils,pils,"5,00%",Brouwerij Het Sas,?-?
Sasbräu,Dortmunder,"6,30%",Brouwerij Het Sas,?-?
Satan Gold,"blond, hoge gisting","8,00%",Brouwerij De Block,1986-heden
Satan Red,Vlaams bruin,"8,00%",Brouwerij De Block,1992-heden
Saxo,hoge gisting,"8,00%",Brasserie Caracole,1994-heden
Schaarbeekse Oude Kriek 3 Fonteinen,"fruitbier, lambiek","5,00%",Geuzestekerij 3 Fonteinen,?-?
Schapenkop,tripel,"8,00%",Brouwerij 't Paenhuys,?-?
Scheldepils,pils,"5,00%",Brouwerij Huyghe voor de De Scheldebrouwerij,2002-heden
*Schoenlappertje*,zwarte-bessenbier,"5,00%",De Scheldebrouwerij,1996-2011
Schultenbräu,pils,"4,90%",Brouwerij Martens voor Aldi,?-heden
Schuppenboer,tripel,"8,50%",De Scheldebrouwerij voor Brouwerij Het Nest,2007-heden
Scotch Crowned Trees Scotch,scotch,"7,20%",Inbev (voorheen Brouwerij Wielemans,1926-heden
Scotch Crowned Trees Stout,stout,,Brouwerij Wielemans,1921-jaren'60
Scotch Silly,"hoge gisting, scotch","7,80%",Brasserie de Silly,?-?
*Seefbier*,hoge gisting,,meerder artisanale historische brouwerijen Antwerpse Brouw Compagnie,voor 1677-1914
Seefbier,hoge gisting,"6,50%",Antwerpse Brouw Compagnie,2012-heden
Serafijn Blond,"blond, hoge gisting","6,20%",De Proefbrouwerij voor Microbrouwerij Achilles,1999?-heden
Serafijn Donker,"bruin, hoge gisting","8,00%",De Proefbrouwerij voor Microbrouwerij Achilles,1999?-heden
Serafijn Grand Cru,"amber, hoge gisting","9,00%",De Proefbrouwerij voor Microbrouwerij Achilles,1999?-heden
Serafijn Tripel,tripel,"8,00%",De Proefbrouwerij voor Microbrouwerij Achilles,1999?-heden
Serafijn Kerstlicht,"amber, kerstbier","7,00%",De Proefbrouwerij voor Microbrouwerij Achilles,1999?-heden
Sernia Brune,"scotch, etiketbier","7,20%",Inbev,1926-heden (e ?-heden)
Sezoens Blond,"hoge gisting, blond","6,00%",Brouwerij Martens (Bocholt),?-?
Sezoens Quattro,"hoge gisting, amber","8,00%",Brouwerij Martens (Bocholt),?-?
Shark Pants,Double IPA,"9,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Silly Pils,pils,"5,00%",Brasserie de Silly,1956-heden
Silly Pils Bio,"pils, biologisch","5,00%",Brasserie de Silly,?-heden
Sinpalsken Blond,hoge gisting,"8,50%",Brouwerij De Cock bij Brouwerij Van Steenberge,1996-heden
Sinpalsken Donker,hoge gisting,"8,50%",Brouwerij De Cock bij Brouwerij Van Steenberge,1996-heden
Sint-Adriaansbier Blond,abdijbier,"6,50%",Brouwerij Van Steenberge,?-?
Sint-Adriaansbier Bruin,abdijbier,,Brouwerij Van Steenberge,?-?
Sint-Amatus,quadrupel,"10,50%",De Struise Brouwers bij Brouwerij Deca,?-?
Sint Canarus Tripel,tripel,"7,50%",Huisbrouwerij Sint Canarus bij De Proefbrouwerij,2002-heden
Sint Canarus 10,tripel,"8,73%",Huisbrouwerij Sint Canarus bij De Proefbrouwerij,2012-heden
Sinterklaas,Blond,"8,50%",Brouwerij Boelens,?-?
Sint-Gummarus Dubbel,,"7,00%",Brouwerij Sint-Jozef,?-?
Sint-Gummarus Tripel,"hoge gisting, tripel","8,00%",Brouwerij Sint-Jozef,?-?
Sint-Idesbald blond,hoge gisting,"6,50%",Brouwerij Huyghe (voorheen brouwerij Damy),?-heden
Sint-Idesbald dubbel,hoge gisting,"8,00%",Brouwerij Huyghe (voorheen brouwerij Damy),?-heden
Sint-Idesbald tripel,hoge gisting,"9,00%",Brouwerij Huyghe (voorheen brouwerij Damy),?-heden
Sint-Idesbald Rousse,hoge gisting,"7,00%",Brouwerij Huyghe,2004-heden
Slaapmutske Blond,"hoge gisting, blond","6,40%",De Proefbrouwerij voor Brouwerij Slaapmutske,2001-heden
Slaapmutske Bruin,"hoge gisting, bruin","6,00%",De Proefbrouwerij voor Brouwerij Slaapmutske,2000-heden
Slaapmutske Bio Tripel,"biologisch, tripel , goudblond","8,00%",De Proefbrouwerij voor Brouwerij Slaapmutske,2009-heden
Slaapmutske Hop Collection ft. Kent Goldings,"hoge gisting, single hop","10,00%",De Proefbrouwerij voor Brouwerij Slaapmutske,2011-heden
Slaapmutske Tripel,"biologisch, tripel , goudblond","8,10%",De Proefbrouwerij voor Brouwerij Slaapmutske,2002-heden
Slaapmutske Christmas,"hoge gisting, kerstbier","7,40%",De Proefbrouwerij voor Brouwerij Slaapmutske,2008-heden
Slaapmutske Dry Hopped Lager,"lage gisting, Dortmunder","5,30%",De Proefbrouwerij voor Brouwerij Slaapmutske,2007-heden
*Slaapmutske Winterbier*,"hoge gisting, bruin","6,00%",De Proefbrouwerij voor Brouwerij Slaapmutske,2000-2001
Slaefke,tripel,"7,50%",Huisbrouwerij Sint Canarus voor De Verhuisbrouwerij,2011-heden
Slag Lager,pils,"5,00%",Brouwerij Slaghmuylder,1926-1945 en 1958-heden
Slaghmuylder's Kerstbier,"lage gisting, blond","5,20%",Brouwerij Slaghmuylder,?-?
Slaghmuylder's Paasbier,"lage gisting, blond","5,20%",Brouwerij Slaghmuylder,?-?
Slim³,bovengisting,"8,00%",Brouwerij De Graal voor *SLIM*,?-?
Sloeber,hoge gisting,"7,50%",Brouwerij Roman,1983-heden
*Smisje Kerst*,donker amber,"11,00%",Brouwerij Smisje,?-?
Smiske,blond,"7,00%",Brouwerij Smisje,2010-heden
Smiske Bruin,dubbel,"7,00%",Brouwerij Smisje,2010-heden
Smiske Extra,tripel,"7,00%",Brouwerij Smisje,2012-heden
Smiske Winter,donker amber,"11,00%",Brouwerij Smisje,?-heden
Snaaskerstbier,kerstbier,"8,00%",Brouwerij Deca,?-? (e ?-?)
Snoek Blond,hoge gisting,"7,50%",Brouwerij Bavik voor “Mout- en Brouwhuis De Snoek”,?-?
Snoek Bruin,hoge gisting,"5,50%",Brouwerij Strubbe voor “Mout- en Brouwhuis De Snoek”,?-?
Snowbuk,saison,"6,00%",Brouwerij Gulden Spoor,?-?
Snuffelbeer,"goud, hoge gisting","6,00%",Brouwerij De Regenboog,?-?
Sparta Pils,pils,"5,00%",Brouwerij Van Steenberge,?-?
Special 6 Block,"amber, hoge gisting","6,00%",Brouwerij De Block,?-?
Special De Ryck,"hoge gisting, amber","5,50%",Brouwerij De Ryck,1920-heden
Special Extra Export Stout,stout,"9,00%",De Dolle Brouwers,?-?
Special Roman,bruin,"5,50%",Brouwerij Roman,?-2013
Speciale 1900,amber,"5,00%",Brouwerij Haacht,2007-heden
Spéciale de Brabant,pils,"5,30%",Groep John Martin,?-?
Speculoos Bier,hoge gisting (etiketbier),"8,00%",Brasserie d'Ecaussinnes,?-?
Spelziale,ale,"4,50%",Brasserie Millevertus,?-?
Spioenkopje,"fruitbier, witbier","5,00%",Brouwerij Strubbe voor den Haene,?-?
Spitfire Oud Balegems,amber,"8,00%",Brouwerij Van Steenberge,1978-? (e ?-?)
St. Bernardus Abt 12,hoge gisting,"10,50%",Brouwerij St. Bernardus,1946-heden
St. Bernardus Christmas Ale,kerstbier,"10,00%",Brouwerij St. Bernardus,?-heden
St. Bernardus Extra 4,blond seizoensbier,"4,80%",Brouwerij St. Bernardus,?-'70 en 2014-heden
St. Bernardus Pater 6,hoge gisting,"6,70%",Brouwerij St. Bernardus,?-heden
St. Bernardus Prior 8,hoge gisting,"8,00%",Brouwerij St. Bernardus,1946-heden
St. Bernardus Tripel,hoge gisting,"8,00%",Brouwerij St. Bernardus,1992-heden
St. Bernardus Wit,witbier,"5,50%",Brouwerij St. Bernardus,2003-heden
Sint-Idesbald Réserve Ten Duinen Blond,Erkend Belgisch Abdijbier,"6,50%",Brouwerij Huyghe,?-heden
Sint-Idesbald Réserve Ten Duinen Dubbel,Erkend Belgisch Abdijbier,"8,00%",Brouwerij Huyghe,?-heden
Sint-Idesbald Réserve Ten Duinen Rousse,Erkend Belgisch Abdijbier,"7,00%",Brouwerij Huyghe,2004-heden
Sint-Idesbald Réserve Ten Duinen Tripel,"Erkend Belgisch Abdijbier, tripel","9,00%",Brouwerij Huyghe,?-heden
Spécial de Nouvel An,,"9,50%",Brouwerij Dupont,1980-heden
St. Benoit Blonde,abdijbier,"6,30%",Brasserie du Bocq,?-?
St. Benoit Brune,abdijbier,"6,50%",Brasserie du Bocq,?-?
St. Feuillien Blonde,Erkend Belgisch Abdijbier,"7,50%",Brouwerij St-Feuillien,1955?-heden
St. Feuillien Brune Réserve,Erkend Belgisch Abdijbier,"7,50%",Brouwerij St-Feuillien,1955?-heden
Grand Cru St-Feuillien Grand Cru,Erkend Belgisch Abdijbier,"9,50%",Brasserie Saint Feuillien,?-heden
St. Feuillien Triple,Erkend Belgisch Abdijbier,"8,50%",Brouwerij St-Feuillien,1955?-heden
St. Feuillien Cuvée de Noël,"Erkend Belgisch Abdijbier, kerstbier","8,50%",Brouwerij St-Feuillien,?-heden
St. Firminus Blond,abdijbier,,Brasserie Du Bocq,?-?
St. Firminus Bruin,abdijbier,,Brasserie Du Bocq,?-?
*St. Louis Cassis*,fruitbier,"4,50%",Brouwerij Van Honsebrouck,?-?
*St. Louis Cassis Kir Royal*,fruitbier,"4,50%",Brouwerij Van Honsebrouck,?-?
*St. Louis Framboise*,frambozenbier,,Brouwerij Van Honsebrouck,?-?
*St. Louis Frambozen(bier)*,frambozenbier,"5,00%",Brouwerij Van Honsebrouck,?-?
*St. Louis Gueuze*,geuze,,Brouwerij Van Honsebrouck,?-?
St. Louis Gueuze Fond Tradition,geuze,"5,00%",Brouwerij Van Honsebrouck,?-?
St. Louis Kriek Lambic,kriek,"4,50%",Brouwerij Van Honsebrouck,?-?
*St. Louis Peche*,fruitbier,"3,50%",Brouwerij Van Honsebrouck,?-?
*St. Louis Premium Cassis*,fruitbier,"3,20%",Brouwerij Van Honsebrouck,?-?
St. Louis Premium Faro,faro,"3,20%",Brouwerij Van Honsebrouck,?-heden
St. Louis Premium Framboise,fruitbier,"2,80%",Brouwerij Van Honsebrouck,?-heden
St. Louis Premium Kriek,kriek,"3,20%",Brouwerij Van Honsebrouck,?-heden
St. Louis Premium Pêche,fruitbier,"2,60%",Brouwerij Van Honsebrouck,?-heden
St. Paul Blond,abdijbier,"5,30%",Brasserie du Bocq voor Brouwerij Sterkens,?-?
St. Paul Double,abdijbier,"6,90%",Brasserie du Bocq voor Brouwerij Sterkens,?-?
St. Paul Speciale,abdijbier,"5,50%",Brasserie du Bocq voor Brouwerij Sterkens,?-?
